key;message_id;scope;source_type;source_locator;classification;active_in_app;source_hash;source_de;protected_tokens;notes;en;ro;el;es;fr
case.LAB_DOC_001_v1_0.title;msg_45a2fc456338f9e4;cases;case_library;cases[LAB_DOC_001_v1_0].title;translatable;True;45a2fc456338f9e4b4f7bbd4be420fd5d3b44cf62bdb4ee510d1d5480be7bf26;‚PCR wie immer gemacht‘ → Dokumentation, Rückverfolgbarkeit und Auditfähigkeit;PCR;;;;;;
case.LAB_DOC_002_v1_3.short;msg_e2f0402f4cbc4cc4;cases;case_library;cases[LAB_DOC_002_v1_3].short;translatable;True;e2f0402f4cbc4cc476cd76398615d3b2cd0f0af00822dcfa733941072ff92e00;Probe → Rohdaten → Pipeline → Befu…;;;;;;;
case.LAB_DOC_002_v1_3.title;msg_ae7e8a786e55b4ff;cases;case_library;cases[LAB_DOC_002_v1_3].title;translatable;True;ae7e8a786e55b4ff3cb41ef26b9f0c5ebe0b264434566c8dc3b0fb0409f7355b;Probe → Rohdaten → Pipeline → Befund nicht rückverfolgbar → LIMS-/ELN-Kette rekonstruieren;LIMS;;;;;;
case.LAB_LIMS_001_v1_3.short;msg_517f31395f6464c6;cases;case_library;cases[LAB_LIMS_001_v1_3].short;translatable;True;517f31395f6464c644e68450feb859e184a44e1a5d6cdd5bb258a6f91fbf9d32;LIMS-Ausfall während Routinewoche;LIMS;;;;;;
case.LAB_LIMS_001_v1_3.title;msg_486cdc387ae2f7c1;cases;case_library;cases[LAB_LIMS_001_v1_3].title;translatable;True;486cdc387ae2f7c1285998ece29174b8ba6d9d3a64938f63b15d7bd4047ac8da;LIMS-Ausfall während Routinewoche → Papier-Backup, Nachpflege, Freigabeprozess;LIMS;;;;;;
case.LAB_LLM_001_v1_3.short;msg_fd89f36108483826;cases;case_library;cases[LAB_LLM_001_v1_3].short;translatable;True;fd89f36108483826d189d676f2aa9beef5def6d33a9c9b3e7a967d8321df4860;LLM erstellt SOP-Entwurf mit fachl…;SOP;;;;;;
case.LAB_LLM_001_v1_3.title;msg_5d33894309e3e812;cases;case_library;cases[LAB_LLM_001_v1_3].title;translatable;True;5d33894309e3e812ca15d51efb5907ec4a1e2db43a533579ea881c249779d927;LLM erstellt SOP-Entwurf mit fachlichen Fehlern → Output prüfen, Datenschutz/QM beachten;SOP;;;;;;
case.LAB_POST_001_v1_0.short;msg_22d6f336b4370aca;cases;case_library;cases[LAB_POST_001_v1_0].short;translatable;True;22d6f336b4370aca6939bac10182909bed7778b2fc590c0aa2fe7fbd3b804c03;Pipeline ohne Change-Log;;;;;;;
case.LAB_POST_001_v1_0.title;msg_b6a6369bb76ab7eb;cases;case_library;cases[LAB_POST_001_v1_0].title;translatable;True;b6a6369bb76ab7eb427fc696a61382fc8391a128dd1cf034bc58885b7f902b0f;Pipeline-Version geändert, kein Change-Log → Bioinformatik-QM und Impact-Analyse;;;;;;;
case.LAB_POST_002_v1_3.short;msg_543850d3ded2a318;cases;case_library;cases[LAB_POST_002_v1_3].short;translatable;True;543850d3ded2a31895eaa7527d22cd6c0449a5daa38da812c9a32e8a2136c83d;Datenbankversion ClinVar/COSMIC ni…;;;;;;;
case.LAB_POST_002_v1_3.title;msg_041d84e4898ccc3c;cases;case_library;cases[LAB_POST_002_v1_3].title;translatable;True;041d84e4898ccc3cc6c8f15c9a4508201980a2dbc193f23767b9fc6a18fb268a;Datenbankversion ClinVar/COSMIC nicht dokumentiert → Auditfest dokumentieren;;;;;;;
case.LAB_POST_003_v1_3.short;msg_603157861a42391d;cases;case_library;cases[LAB_POST_003_v1_3].short;translatable;True;603157861a42391d4361b7967e721e4921d1718bbf973fb73ee9d6f010282f6d;Automatischer Report klassifiziert…;;;;;;;
case.LAB_POST_003_v1_3.title;msg_e3b7efa091a5eaba;cases;case_library;cases[LAB_POST_003_v1_3].title;translatable;True;e3b7efa091a5eaba7a04081fa564faee1fbf375a8ec2e475759eb449722919a6;Automatischer Report klassifiziert VUS als „actionable“ → Ärztlich-wissenschaftliche Freigabe;VUS;;;;;;
case.LAB_POST_004_v1_3.short;msg_58b2d52e05c38bae;cases;case_library;cases[LAB_POST_004_v1_3].short;translatable;True;58b2d52e05c38bae2b93bbb5bb7e9f6180555ff708e73b3f5034840e2bc3f688;Tumorboard verlangt „alles negativ…;;;;;;;
case.LAB_POST_004_v1_3.title;msg_be554722a67b66d1;cases;case_library;cases[LAB_POST_004_v1_3].title;translatable;True;be554722a67b66d1582081fc9a9eb8a93905aa617c65cf76640183965a71bf52;Tumorboard verlangt „alles negativ“ → Methodische Grenzen erklären;;;;;;;
case.LAB_POST_005_v1_3.short;msg_67fa8f571d320e69;cases;case_library;cases[LAB_POST_005_v1_3].short;translatable;True;67fa8f571d320e694a4fdf299dde5b7d9f3c9df5499b2dfaa84bcadef921937a;Befundfreigabe trotz Coverage-Lück…;;;;;;;
case.LAB_POST_005_v1_3.title;msg_bfdb19d8a592d1bb;cases;case_library;cases[LAB_POST_005_v1_3].title;translatable;True;bfdb19d8a592d1bb5712c76cc03283bd1b855f94ba10d7cdffce9280fb9970db;Befundfreigabe trotz Coverage-Lücke → Limitation, Nachtestung, Rücksprache;;;;;;;
case.LAB_PRE_001_v1_3.short;msg_e79ae44caf43e3c8;cases;case_library;cases[LAB_PRE_001_v1_3].short;translatable;True;e79ae44caf43e3c8c333052d65fdd9e991299f0de6bd98b888f18f4da0d39498;Unbeschriftetes Röhrchen im Eingan…;;;;;;;
case.LAB_PRE_001_v1_3.title;msg_41abc44feae1c302;cases;case_library;cases[LAB_PRE_001_v1_3].title;translatable;True;41abc44feae1c302cf3da5e0f06a11eeeabf9a20cfd51285467bb344825cdfdf;Unbeschriftetes Röhrchen im Eingang → Stoppen, klären, dokumentieren;;;;;;;
case.LAB_PRE_002_v1_3.short;msg_40d0dc2768522df9;cases;case_library;cases[LAB_PRE_002_v1_3].short;translatable;True;40d0dc2768522df9ca621a5f236f0961631de3773cf4898313275df6fc58ed36;FFPE-Block alt, Tumoranteil niedri…;FFPE;;;;;;
case.LAB_PRE_002_v1_3.title;msg_464d699dc84067d9;cases;case_library;cases[LAB_PRE_002_v1_3].title;translatable;True;464d699dc84067d92780aeb32f8e8d7935ef0fd541e03c8c06bb17b868318473;FFPE-Block alt, Tumoranteil niedrig, DNA schlecht → Befundbar, eingeschränkt oder neues Material?;DNA | FFPE;;;;;;
case.LAB_PRE_003_v1_3.short;msg_6943a017a483c8d1;cases;case_library;cases[LAB_PRE_003_v1_3].short;translatable;True;6943a017a483c8d105200e695bac5f5e2761ed25e7744f9478f9cc5160e87200;Liquid-Biopsy-Blut zu lange unzent…;;;;;;;
case.LAB_PRE_003_v1_3.title;msg_cedc662994d559b1;cases;case_library;cases[LAB_PRE_003_v1_3].title;translatable;True;cedc662994d559b18447fefea04ee320ed9b2803a3439bf7444739baaba406df;Liquid-Biopsy-Blut zu lange unzentrifugiert → Probe ablehnen oder limitiert analysieren?;;;;;;;
case.LAB_PRE_004_v1_3.short;msg_1bbddee2df07d845;cases;case_library;cases[LAB_PRE_004_v1_3].short;translatable;True;1bbddee2df07d8456ebcca53e8390d3348e72f6b9318c3c14f996e7638bc7a55;Dekalzifiziertes Knochenmaterial f…;;;;;;;
case.LAB_PRE_004_v1_3.title;msg_7b818cce348aa695;cases;case_library;cases[LAB_PRE_004_v1_3].title;translatable;True;7b818cce348aa695243b120f08f9bdac560c197eca0d6fed0ddff4e88804fcf2;Dekalzifiziertes Knochenmaterial für NGS → Methodengrenze erkennen;NGS;;;;;;
case.LAB_PRE_005_v1_3.short;msg_ab32324a76bb0e4e;cases;case_library;cases[LAB_PRE_005_v1_3].short;translatable;True;ab32324a76bb0e4e0b7cc299bd320da5f87dbb97d39504d33c26d40dca9be7c2;Forschung möchte 20 Schnitte aus k…;;;;;;;
case.LAB_PRE_005_v1_3.title;msg_1d4971501c64d030;cases;case_library;cases[LAB_PRE_005_v1_3].title;translatable;True;1d4971501c64d030125fde49ce0e0a28f5e393b9148d39eb59d979ef550fbac9;Forschung möchte 20 Schnitte aus kleinem Biopsieblock → Routinepriorität vs. Forschungsinteresse;;;;;;;
case.LAB_QM_001_v1_3.short;msg_a7212ad775132abc;cases;case_library;cases[LAB_QM_001_v1_3].short;translatable;True;a7212ad775132abc7eb8b7befb58b4224f199e31301b384ee212f3eeefcbe7f6;Abweichung wurde informell gelöst,…;;;;;;;
case.LAB_QM_001_v1_3.title;msg_d7771dac800face7;cases;case_library;cases[LAB_QM_001_v1_3].title;translatable;True;d7771dac800face7c82462938f0f6d96aae4dd019129e8b6bc1e27f85b2dd79e;Abweichung wurde informell gelöst, aber nicht gemeldet → Deviation melden statt vertuschen;;;;;;;
case.LAB_RUN_001_v1_3.short;msg_2886b02739bcfa88;cases;case_library;cases[LAB_RUN_001_v1_3].short;translatable;True;2886b02739bcfa880dc9fd455e3e81ec039acab46fcfbc2ed9a6b12b38170644;Positivkontrolle schwach, Patiente…;;;;;;;
case.LAB_RUN_001_v1_3.title;msg_994883a7aa6884aa;cases;case_library;cases[LAB_RUN_001_v1_3].title;translatable;True;994883a7aa6884aae0bf80ce7dedd4133e413b2beba565c18789a5cfd898fe85;Positivkontrolle schwach, Patientenproben scheinbar okay → Run freigeben, teilfreigeben oder wiederholen?;;;;;;;
case.LAB_RUN_002_v0_8.short;msg_6eed999ec36fd3d9;cases;case_library;cases[LAB_RUN_002_v0_8].short;translatable;True;6eed999ec36fd3d9da958e32bd9fe3441164c813c5721cf5e409e4f54e8a4641;Negativkontrolle positiv;;;;;;;
case.LAB_RUN_002_v0_8.title;msg_cb27a6a0596be5f9;cases;case_library;cases[LAB_RUN_002_v0_8].title;translatable;True;cb27a6a0596be5f9159683d6abe7a0459bfd7e871b18a09ca888dc821ba59f4e;Hotspot-Mutation in der Negativkontrolle → Run-Sperre, Ursachenanalyse und CAPA;CAPA;;;;;;
case.LAB_RUN_003_v1_3.short;msg_5caed2a06e7cfe66;cases;case_library;cases[LAB_RUN_003_v1_3].short;translatable;True;5caed2a06e7cfe665a81dcd5302ef4cb89d9c52e8e66215a41003dfd4a4b656c;Duplicate-Rate bei zwei Proben erh…;;;;;;;
case.LAB_RUN_003_v1_3.title;msg_0ec14f95b69d1a46;cases;case_library;cases[LAB_RUN_003_v1_3].title;translatable;True;0ec14f95b69d1a46b8ab3202fc0db4cc89ecad0a1e088b2a4ecc422c2d044449;Duplicate-Rate bei zwei Proben erhöht → Ursache, Befundgrenze, Wiederholung;;;;;;;
case.LAB_RUN_004_v1_3.short;msg_4bc9805fc3610415;cases;case_library;cases[LAB_RUN_004_v1_3].short;translatable;True;4bc9805fc3610415e0f8ca67fb32a894adec7182ede56f42112f4783c54368b2;Neues NGS-Kit-Lot vor Routineeinsa…;NGS;;;;;;
case.LAB_RUN_004_v1_3.title;msg_45dc2c4198c4976a;cases;case_library;cases[LAB_RUN_004_v1_3].title;translatable;True;45dc2c4198c4976a9c264a1c209ac28c2bbd3fbe5bc3b74fb7ff270447f41f7a;Neues NGS-Kit-Lot vor Routineeinsatz → Lot-Verifizierung und Dokumentation;NGS;;;;;;
case.LAB_RUN_005_v1_3.short;msg_c8d1d5d6654d556e;cases;case_library;cases[LAB_RUN_005_v1_3].short;translatable;True;c8d1d5d6654d556e1282a737f8680e060d93a0bc019ec0ad2ee23cdc08abdf6f;PCR-Inhibition durch Ethanolreste …;PCR;;;;;;
case.LAB_RUN_005_v1_3.title;msg_5f5756199e3f1dd4;cases;case_library;cases[LAB_RUN_005_v1_3].title;translatable;True;5f5756199e3f1dd4b3398649edc1c9baab54b9c53b7173993a15d5ba0c34a555;PCR-Inhibition durch Ethanolreste im Eluat → Wiederholung Extraktion?;PCR;;;;;;
case.LAB_RUN_006_v1_3.short;msg_6d8e3d1a83d17087;cases;case_library;cases[LAB_RUN_006_v1_3].short;translatable;True;6d8e3d1a83d17087aefec4090a3e50983dc4d61478f8e92361e9dbc7584c0fd0;Post-PCR-Produkt gelangt in Prä-PC…;PCR;;;;;;
case.LAB_RUN_006_v1_3.title;msg_584e7b741e2beac1;cases;case_library;cases[LAB_RUN_006_v1_3].title;translatable;True;584e7b741e2beac1b9f8739efd488e36397313d80e7725ee14bc3e2a1dc77e76;Post-PCR-Produkt gelangt in Prä-PCR-Bereich → Sofortmaßnahmen, Flächensanierung, CAPA;CAPA | PCR;;;;;;
case.MET_FISH_001_v1_3.short;msg_d574beb6c59a6c6a;cases;case_library;cases[MET_FISH_001_v1_3].short;translatable;True;d574beb6c59a6c6a9f7d8c0fc754df89f7766b08129f28af884d2878e1e1a3f2;Amplifikation/Fusion: FISH als sch…;FISH;;;;;;
case.MET_FISH_001_v1_3.story.histo.items.0.0;msg_7fc169f06873ceba;cases;case_library;cases[MET_FISH_001_v1_3].story[2].items[0][0];review;True;7fc169f06873ceba7ca5bf86a05087116336ee3e7bc66cc4916df1e5d6f00cb6;Morphologie;;;;;;;
case.MET_FISH_001_v1_3.story.histo.items.0.1;msg_425fead4712ffcc4;cases;case_library;cases[MET_FISH_001_v1_3].story[2].items[0][1];translatable;True;425fead4712ffcc4a03bf5a533eba4c9c31877c8ee069abf450849e4765da8d7;Tumor-/Materialkontext ist plausibel, aber für die Kernentscheidung nicht ausreichend.;;;;;;;
case.MET_FISH_001_v1_3.story.histo.items.1.0;msg_74b1a50150ddff14;cases;case_library;cases[MET_FISH_001_v1_3].story[2].items[1][0];review;True;74b1a50150ddff145bdb540a419ddd857d118972167b2d052395b6c4b19cab09;Vor-IHC;IHC;;;;;;
case.MET_FISH_001_v1_3.story.histo.items.1.1;msg_f4034f9e84610626;cases;case_library;cases[MET_FISH_001_v1_3].story[2].items[1][1];translatable;True;f4034f9e8461062652ca5b93a0acba78ac46534fea7272368c90cdd6e1614ddc;Basisdiagnostik liegt vor bzw. ist nachzufordern, wenn sie für die Interpretation nötig ist.;;;;;;;
case.MET_FISH_001_v1_3.story.histo.items.2.0;msg_a929ab329e9748a2;cases;case_library;cases[MET_FISH_001_v1_3].story[2].items[2][0];translatable;True;a929ab329e9748a21c5e8b43a34f9f66bfef75fcf0a866af25a1af2c7c19d82f;Offene Frage;;;;;;;
case.MET_FISH_001_v1_3.story.histo.items.2.1;msg_00af341c542806b9;cases;case_library;cases[MET_FISH_001_v1_3].story[2].items[2][1];translatable;True;00af341c542806b97b2ae8fbd604d58fa3139993c86dd011af2b94a8d1e33b1c;Wann ISH/FISH sinnvoll bleibt;FISH;;;;;;
case.MET_FISH_001_v1_3.story.histo.items.3.0;msg_2e2011d96a411698;cases;case_library;cases[MET_FISH_001_v1_3].story[2].items[3][0];review;True;2e2011d96a4116985c5cfb35df7d4f59083c21b70c8a5ac927e41a1f92f89329;Hinweis;;;;;;;
case.MET_FISH_001_v1_3.story.histo.items.3.1;msg_976675096c8ac6c7;cases;case_library;cases[MET_FISH_001_v1_3].story[2].items[3][1];translatable;True;976675096c8ac6c7b9b9eee170f0276898a4edf81147f3a6c36650f3fe770c73;Die Entscheidung soll nicht reflexartig, sondern methodisch begründet getroffen werden.;;;;;;;
case.MET_FISH_001_v1_3.story.histo.title;msg_1fcced7889903bb0;cases;case_library;cases[MET_FISH_001_v1_3].story[2].title;translatable;True;1fcced7889903bb07344b57eafd4797b7f21a64adc33706d223473d6ac8834eb;Histologie + Vorinformation;;;;;;;
case.MET_FISH_001_v1_3.story.history.items.0.0;msg_3dc42aa6dc49261c;cases;case_library;cases[MET_FISH_001_v1_3].story[1].items[0][0];translatable;True;3dc42aa6dc49261cd85b9f4c89f9a142789113dd9a920c9021f925ade6fdb42d;Klinischer Rahmen;;;;;;;
case.MET_FISH_001_v1_3.story.history.items.0.1;msg_c390d3894e9fed97;cases;case_library;cases[MET_FISH_001_v1_3].story[1].items[0][1];translatable;True;c390d3894e9fed97baa0f08e900d46dcd5bf72d4dd1fad4f331ded02f6cb67e9;Amplifikation/Fusion: FISH als schnelle Ergänzung;FISH;;;;;;
case.MET_FISH_001_v1_3.story.history.items.1.0;msg_bc3d36ad82fad076;cases;case_library;cases[MET_FISH_001_v1_3].story[1].items[1][0];review;True;bc3d36ad82fad076be38f31e02cd8f03bef04f09f0dea693b65f8e817aed0d3a;Entscheidungsdruck;;;;;;;
case.MET_FISH_001_v1_3.story.history.items.1.1;msg_4af76c4cce16dc47;cases;case_library;cases[MET_FISH_001_v1_3].story[1].items[1][1];translatable;True;4af76c4cce16dc47faa88ec1113a5738b85d77c5983fd4283b0eca68b39ae8e6;Der Fall soll in einem Tumorboard oder einer fallbezogenen Besprechung eingeordnet werden.;;;;;;;
case.MET_FISH_001_v1_3.story.history.items.2.0;msg_a8324944e0eabd62;cases;case_library;cases[MET_FISH_001_v1_3].story[1].items[2][0];translatable;True;a8324944e0eabd62a429fa762503af79685647c64cb96e1cc5eee7b94014e02e;Didaktische Falle;;;;;;;
case.MET_FISH_001_v1_3.story.history.items.2.1;msg_5e191a8ef78f0fd0;cases;case_library;cases[MET_FISH_001_v1_3].story[1].items[2][1];translatable;True;5e191a8ef78f0fd08d57f896a43fec2f8ac3bdc61ab05373eecac8d27a09148a;Ein Einzelmarker oder eine Einzelmethode kann die Kernentscheidung häufig nicht ausreichend beantworten.;;;;;;;
case.MET_FISH_001_v1_3.story.history.items.3.0;msg_f487ce3960189b78;cases;case_library;cases[MET_FISH_001_v1_3].story[1].items[3][0];review;True;f487ce3960189b78918da7991c10aa74a9fc8922046c0ebdb978772c61734bbb;Ziel;;;;;;;
case.MET_FISH_001_v1_3.story.history.items.3.1;msg_8002037cd369f870;cases;case_library;cases[MET_FISH_001_v1_3].story[1].items[3][1];translatable;True;8002037cd369f870f84aa50ae8ba70f2bcac660a9d97b2c880f8d70621c2ca6e;Aus Morphologie, Material, Methode und Biologie eine belastbare Empfehlung ableiten.;;;;;;;
case.MET_FISH_001_v1_3.story.history.title;msg_719a91830c6cc3c4;cases;case_library;cases[MET_FISH_001_v1_3].story[1].title;translatable;True;719a91830c6cc3c410b7ad6dd18d5a86ada4f59cd8b529464b7815b8d54fdc88;Anamnese und klinischer Kontext;;;;;;;
case.MET_FISH_001_v1_3.story.intake.items.0.0;msg_b2e0887b2ff17914;cases;case_library;cases[MET_FISH_001_v1_3].story[0].items[0][0];review;True;b2e0887b2ff179149f09a18d2b827b08fdd09358ceda91a02d5740661832bcfb;Fall-ID;;;;;;;
case.MET_FISH_001_v1_3.story.intake.items.0.1;msg_3f2cc6f16f5a1cb8;cases;case_library;cases[MET_FISH_001_v1_3].story[0].items[0][1];protected;True;3f2cc6f16f5a1cb81472fbb6448b89632bffd6ef9315631f50a875a463dfc2b7;MET_FISH_001;FISH | MET | MET_FISH_001;;;;;;
case.MET_FISH_001_v1_3.story.intake.items.1.0;msg_66212d5a6f06e605;cases;case_library;cases[MET_FISH_001_v1_3].story[0].items[1][0];review;True;66212d5a6f06e60526c250bdadee5eadfd199ef5ecb89beeb7b3950a1837c52d;Einsender;;;;;;;
case.MET_FISH_001_v1_3.story.intake.items.1.1;msg_a77c03098f1eff79;cases;case_library;cases[MET_FISH_001_v1_3].story[0].items[1][1];translatable;True;a77c03098f1eff799c344fe1af45bf477464c078db5f0807eca26a0ff4e1fd6d;Onkologie / Pathologie / Molekulares Tumorboard;;;;;;;
case.MET_FISH_001_v1_3.story.intake.items.2.0;msg_5b290eeb5feb5cc7;cases;case_library;cases[MET_FISH_001_v1_3].story[0].items[2][0];translatable;True;5b290eeb5feb5cc73f6be33e3ce54e5d244759496976e44945c77f163860e830;Klinische Frage;;;;;;;
case.MET_FISH_001_v1_3.story.intake.items.2.1;msg_00af341c542806b9;cases;case_library;cases[MET_FISH_001_v1_3].story[0].items[2][1];translatable;True;00af341c542806b97b2ae8fbd604d58fa3139993c86dd011af2b94a8d1e33b1c;Wann ISH/FISH sinnvoll bleibt;FISH;;;;;;
case.MET_FISH_001_v1_3.story.intake.items.3.0;msg_1076e1c5f9fe262a;cases;case_library;cases[MET_FISH_001_v1_3].story[0].items[3][0];translatable;True;1076e1c5f9fe262ad70cb874420c9aabef4150027f8a8d2dbab0f6837187759d;Quelle / Kapitelbasis;;;;;;;
case.MET_FISH_001_v1_3.story.intake.items.3.1;msg_347cf835a641c7d1;cases;case_library;cases[MET_FISH_001_v1_3].story[0].items[3][1];translatable;True;347cf835a641c7d168f218470993c9f20352735deb4d725251c260e5548d1819;Bioanalytik Hybridisierung/FISH;FISH;;;;;;
case.MET_FISH_001_v1_3.story.intake.title;msg_5cc99e9eea1689e7;cases;case_library;cases[MET_FISH_001_v1_3].story[0].title;translatable;True;5cc99e9eea1689e796a87c61198db539a6b805799d45b9a6799085a618b9858b;Initialer Auftrag;;;;;;;
case.MET_FISH_001_v1_3.story.material.items.0.0;msg_616cb218a65b982f;cases;case_library;cases[MET_FISH_001_v1_3].story[3].items[0][0];review;True;616cb218a65b982f61fd738e24ebe00d5a2ae039c0d386fed975a51d51b772f8;Material;;;Material;Material;Υλικό;Material;Matériel
case.MET_FISH_001_v1_3.story.material.items.0.1;msg_378b503ef8efe345;cases;case_library;cases[MET_FISH_001_v1_3].story[3].items[0][1];translatable;True;378b503ef8efe345f7e4db44c0568c657415a5bc0473f514277852c7306065e8;FFPE-Gewebe bzw. fallabhängiges Routine-/Progressionsmaterial.;FFPE;;;;;;
case.MET_FISH_001_v1_3.story.material.items.1.0;msg_15985cad443d24bb;cases;case_library;cases[MET_FISH_001_v1_3].story[3].items[1][0];review;True;15985cad443d24bb3d822edf69cfd9647837ebcaaa2b3579a884d0944198ae11;Tumoranteil;;;;;;;
case.MET_FISH_001_v1_3.story.material.items.1.1;msg_1bc3def7709bbb5f;cases;case_library;cases[MET_FISH_001_v1_3].story[3].items[1][1];translatable;True;1bc3def7709bbb5f6d35aaf236263146e509af8b0f4e1eeaa25105af9c546ea5;ausreichend bis grenzwertig, abhängig von gewählter Methode.;;;;;;;
case.MET_FISH_001_v1_3.story.material.items.2.0;msg_662ef4388489bdd7;cases;case_library;cases[MET_FISH_001_v1_3].story[3].items[2][0];review;True;662ef4388489bdd7422daee0f9a4c4b9415a98b09c0045b97bb439c56829379c;Schnittbudget;;;;;;;
case.MET_FISH_001_v1_3.story.material.items.2.1;msg_bfc2f6425be0c1da;cases;case_library;cases[MET_FISH_001_v1_3].story[3].items[2][1];translatable;True;bfc2f6425be0c1da5b162ee9566a9252e6ae6fdce31e868d77c4458b9e5e4443;"didaktisch begrenzt; unnötige Zusatztests kosten Material und TAT.";TAT;;;;;;
case.MET_FISH_001_v1_3.story.material.items.3.0;msg_4e8196d1b0ff2637;cases;case_library;cases[MET_FISH_001_v1_3].story[3].items[3][0];translatable;True;4e8196d1b0ff263794066600f2c55d0a48a202dbe4d3e79fa0296a4a6b455cc2;Präanalytik;;;;;;;
case.MET_FISH_001_v1_3.story.material.items.3.1;msg_0a3142648b175dd7;cases;case_library;cases[MET_FISH_001_v1_3].story[3].items[3][1];translatable;True;0a3142648b175dd7be3d7aaeee36dd2f05d9a0787d7ea046a94622569c1c6ed8;Materialqualität, Aussagegrenzen und Nachforderung aktiv berücksichtigen.;;;;;;;
case.MET_FISH_001_v1_3.story.material.title;msg_495dbdc7f86d5490;cases;case_library;cases[MET_FISH_001_v1_3].story[3].title;translatable;True;495dbdc7f86d54900e3bd2d42c2b2f121271216c367a51d996f2f2576dd15791;Materialprüfung;;;;;;;
case.MET_FISH_001_v1_3.title;msg_e27ff409fb31815f;cases;case_library;cases[MET_FISH_001_v1_3].title;translatable;True;e27ff409fb31815feaf45e2a8f7feec18c8afd995b8964553d090eecebdf0309;Amplifikation/Fusion: FISH als schnelle Ergänzung → Wann ISH/FISH sinnvoll bleibt;FISH;;;;;;
