case_id,domain,title_de,signature_case,old_time,z12_time,time_changed,old_difficulty,z12_difficulty,difficulty_changed,rationale
MTB_PROST_001_v1_3,MTB,BRCA2 im mCRPC: therapeutisch relevant – aber ist es auch Keimbahn?,no,8–15,12–16,yes,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
MTB_TAML_001_v1_3,MTB/RES,"Nach zytotoxischer Therapie: TP53, komplexer Karyotyp und die Falle 'Genominstabilität = Target'",no,3–5,9–13,yes,beginner,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_IO_002_v1_3,MTB,"PD-L1 vorhanden, aber die T-Zellen kommen nicht hinein: immune-excluded Pankreasadenokarzinom",no,8–15,12–16,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_IO_003_v1_3,MTB,PD-L1 CPS 25 und trotzdem kein ICI-Biomarker: MSS-mCRC als Überinterpretationsfalle,no,3–5,10–14,yes,beginner,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_IO_004_v1_3,MTB,MSI-H und MLH1/PMS2-Verlust: Endometriumkarzinom zwischen Immuntherapie und Lynch-Abklärung,no,8–15,12–16,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_IO_005_v1_3,MTB,"Antibiotika vor ICI: relevante Assoziation, aber keine patientenindividuelle Kontraindikation",no,3–5,9–13,yes,beginner,beginner,no,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
MTB_CNS_002_v1_3,MTB,R132H negativ – aber nicht IDH-Wildtyp,no,8–15,12–16,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_CNS_003_v1_3,MTB,Der Classifier ist nur so gut wie Probe und Plausibilität,no,8–15,12–18,yes,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
MTB_HEM_001_v1_3,MTB,Der Klon ist echt – die Neoplasie noch nicht,no,8–15,12–16,yes,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
MTB_METH_001_v1_3,MTB,BRAF-Wildtyp ist kein positiver Lynch-Test,no,3–5,10–14,yes,beginner,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_ANGIO_001_v1_3,MTB,"Anti-VEGF ist ein Wirkmechanismus, kein VHL-Companion-Diagnostic",no,3–5,9–13,yes,beginner,beginner,no,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
MTB_RCC_001_v1_3,MTB,VHL erklärt fast alles – aber nicht die konkrete Regimenwahl,no,8–15,10–14,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_GBM_ANGIO_001_v1_3,MTB,Das MRT schrumpft schneller als der Tumor,no,3–5,10–14,yes,beginner,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_TME_001_v1_3,MTB,Viele T-Zellen – aber auf der falschen Seite der Stromabarriere,no,8–15,11–15,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MTB_INV_001_v1_3,MTB,Tumor budding: Hallmark im HE statt EMT-Overtesting,no,3–5,10–14,yes,beginner,beginner,no,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
MET_NGS_001_v1_3,MTB / Methoden,Das Loch im „negativen“ Panel,no,3–5,10–13,yes,beginner,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MET_NGS_002_v1_3,MTB / Methoden,"Der attraktive 1,4-%-Call",no,3–5,9–12,yes,beginner,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MET_NGS_004_v1_3,MTB / Methoden,48 % sind kein Abstammungsnachweis,no,8–15,11–14,yes,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
MET_RNA_001_v1_3,MTB / Methoden,"DNA negativ, Biologie positiv",no,8–15,10–14,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MET_LB_001_v1_3,MTB / Methoden,Negativ – aber ohne Tumorsignal,no,8–15,10–13,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MET_PCR_001_v1_3,MTB / Methoden,"Breit negativ, hochsensitiv positiv",no,3–5,9–12,yes,beginner,beginner,no,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
MET_METH_001_v1_3,MTB / Methoden,Nicht jedes Methylom braucht ein Methylom,no,3–5,8–11,yes,beginner,beginner,no,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
MET_FISH_001_v1_3,MTB / Methoden,FISH positiv – Diagnose noch offen,no,3–5,10–13,yes,beginner,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
MET_MULTI_001_v1_3,MTB / Methoden,23 Seiten auf drei Sätze reduzieren,no,8–15,11–14,yes,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_PRE_001_v1_3,LAB,Unbeschriftete Primärprobe: Identität ist keine Wahrscheinlichkeitsfrage,no,8–10,8–10,no,beginner_intermediate,beginner,yes,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
LAB_PRE_002_v1_3,LAB,"Schlechtes FFPE ist kein binäres Ja/Nein: Eignung, Nachweisgrenze und Negativbefund",no,12–15,12–15,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
LAB_PRE_003_v1_3,LAB,"Liquid Biopsy nach Transportverzug: Röhrchentyp, Zeit und Präanalytik entscheiden die Aussage",no,9–12,9–12,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
LAB_PRE_004_v1_3,LAB,"Dekalzifizierter Knochenblock: Nicht „Knochen“ ist das Problem, sondern Chemie und Prozess",no,9–12,9–12,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
LAB_PRE_005_v1_3,LAB,20 Schnitte für Forschung: Einwilligung ersetzt keinen Materialschutz,no,12–15,12–15,no,intermediate_advanced,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_RUN_001_v1_3,LAB,Schwache Positivkontrolle: Nicht „alles gut“ und nicht automatisch „alles wiederholen“,no,12–15,12–15,no,intermediate_advanced,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_RUN_003_v1_3,LAB,Duplicate-Rate ist kein Urteil: Wie viel unabhängige Information bleibt übrig?,no,10–12,10–12,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
LAB_RUN_004_v1_3,LAB,Neues Kit-Lot: „Gleiches Produkt“ ist noch kein lokaler Leistungsnachweis,no,12–15,12–15,no,intermediate_advanced,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_RUN_005_v1_3,LAB,"Ethanolreste im Eluat: Wenn Verdünnen hilft, kann es trotzdem diagnostisch schaden",no,10–12,10–12,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
LAB_RUN_006_v1_3,LAB,Post-PCR in Prä-PCR: Der sichtbare Spill ist nicht automatisch die ganze Kontaminationszone,no,30–45,30–45,no,advanced,expert,yes,"System-/Krisen- bzw. Planspielcharakter mit mehreren abhängigen Entscheidungen, Governance/CAPA/Continuity und hoher Konsequenzdichte."
LAB_POST_002_v1_3,LAB,"Datenbankversion nicht dokumentiert: Wissensstand, Provenienz und Reproduzierbarkeit",no,10–15,15–20,yes,intermediate_advanced,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_POST_003_v1_3,LAB,VUS als „actionable“ im Auto-Report: Human Oversight und variantenspezifische Evidenz,no,15–20,18–25,yes,advanced,advanced,no,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_POST_004_v1_3,LAB,„Alles negativ“? Wie ein Negativbefund klinisch klar und methodisch ehrlich bleibt,no,10–15,12–18,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
LAB_POST_005_v1_3,LAB,Coverage-Lücke vor Freigabe: lokale Sensitivität schlägt grünes Global-QC,no,15–20,18–25,yes,advanced,advanced,no,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_DOC_002_v1_3,LAB,Traceability ist eine Beweiskette – kein Dateiname,no,12–18,15,yes,advanced,advanced,no,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_AUDIT_001_v1_3,LAB,Auditfest heißt: damaliger Prozess + damalige Kompetenz,no,12–18,15,yes,advanced,advanced,no,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_CAPA_001_v1_3,LAB,CAPA-Planspiel: Wiederholte KRAS-Kontamination,no,30–45,40,yes,expert,expert,no,"System-/Krisen- bzw. Planspielcharakter mit mehreren abhängigen Entscheidungen, Governance/CAPA/Continuity und hoher Konsequenzdichte."
LAB_QM_001_v1_3,LAB,"Near Miss: sichtbar machen, bevor etwas passiert",no,6–10,8,yes,intermediate,beginner,yes,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
LAB_LLM_001_v1_3,LAB,LLM im Labor: Textgenerator ist keine Fachinstanz,no,8–12,10,yes,intermediate_advanced,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
LAB_DIGI_001_v1_3,LAB,WSI-QC: Scharf genug ist aufgabenabhängig,no,8–10,10,yes,beginner_intermediate,intermediate,yes,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
LAB_DIGI_002_v1_3,LAB,PD-L1-KI: Assistenz braucht lokale Evidenz,no,12–15,15,yes,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
LAB_DATA_001_v1_3,LAB,Datenschutz im Projektordner: pseudonymisiert ist mehr als „Name gelöscht“,no,8–10,10,yes,beginner_intermediate,beginner,yes,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
LAB_DATA_002_v1_3,LAB,Cyber-Notfall im NGS-Labor: Restore ist erst nach Integritätsnachweis klinisch nutzbar,no,35–50,45,yes,advanced,expert,yes,"System-/Krisen- bzw. Planspielcharakter mit mehreren abhängigen Entscheidungen, Governance/CAPA/Continuity und hoher Konsequenzdichte."
LAB_LIMS_001_v1_3,LAB,LIMS-Downtime: eine kontrollierte Zwischenwelt mit nur einer Wahrheit,no,30–45,40,yes,advanced,expert,yes,"System-/Krisen- bzw. Planspielcharakter mit mehreren abhängigen Entscheidungen, Governance/CAPA/Continuity und hoher Konsequenzdichte."
RES_HYP_002_v1_3,RES,Biomarker X operationalisieren: vom 'sieht wichtig aus' zur prüfbaren Biomarkerstudie,no,12–15,12–15,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
RES_OMICS_002_v1_3,RES,"Top-DEG FAP: Einzelgen, Zellkomposition oder stromales Resistenzprogramm?",no,12–15,12–15,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
RES_OMICS_003_v1_3,RES,Hallmark-Inflation an der invasiven Front: aus vier Labels eine prüfbare Hypothese machen,no,12–15,12–15,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
RES_IMM_001_v1_3,RES,ICI-Resistenz und JAK/STAT: inflammatorisches Bulk-Signal trotz tumorzellulärer IFNγ-Blindheit,no,15–20,15–20,no,advanced,advanced,no,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
RES_MOD_001_v1_3,RES,Zelllinie mit Effekt – aber falscher Kontext: Modellpassung vor Effektgröße,no,12–15,12–15,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
RES_MOD_002_v1_3,RES,Organoid oder Overkill? Modellkomplexität muss eine zusätzliche Frage beantworten,no,8–10,8–10,no,beginner,beginner,no,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
RES_MOD_003_v1_3,RES,PDO-Biobank als Plattform: vom wachsenden Organoid zur qualitätsgesicherten Ressource,no,30–60,30–60,no,advanced,advanced,no,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
RES_VAL_001_v1_3,RES,Omics-Kandidat validieren: unabhängig ist nicht dasselbe wie orthogonal,no,15–18,15–18,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
RES_VAL_002_v1_3,RES,"Präklinisch überzeugend, klinisch noch unverbunden: die Human-Tissue-Brücke",no,12–15,12–15,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
RES_ETH_002_v1_3,RES,WES-Nebenbefund mit Keimbahnverdacht: Research-Signal ist noch keine klinische Diagnose,no,15–18,15–18,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
RES_ETH_003_v1_3,RES,Forschungsbiopsie für explorative Omics: wissenschaftliche Notwendigkeit gegen Belastung abwägen,no,12–15,12–15,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
RES_DATA_001_v1_3,RES,FAIR ist nicht automatisch öffentlich: Open Science innerhalb von Consent und Datenschutz,no,8–10,8–10,no,beginner,beginner,no,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
RES_AI_001_v1_3,RES,"AUC 0,94 – aber lernt die KI MSI oder den Scanner? Bias und externe Generalisierung",no,15–18,15–18,no,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
RES_PM_001_v1_3,RES,"Projekt ohne Daten-/Code-Struktur: erst Provenienz retten, dann aufräumen",no,10–12,10–12,no,beginner,beginner,no,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
RES_PM_002_v1_3,RES,analysis_final_neu_ENDGUELTIG.R: Dateinamen sind keine Versionskontrolle,no,8–10,8–10,no,beginner,beginner,no,"Fokussierte Kernentscheidung mit begrenzter Integrationsbreite; Deep-Dive-Tiefe erhöht die Lernstrecke, nicht zwingend die kognitive Stufe."
RES_ROLE_001_v1_3,RES,"Autorenschaftskonflikt vor Submission: Beiträge sichtbar machen, Kriterien anwenden",no,12–15,12–15,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
RES_GRANT_001_v1_3,RES,Drittmittelidee ohne Architektur: vom Methodenwunsch zum steuerbaren Grant,no,30–45,30–45,no,advanced,advanced,no,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
RES_IMPL_001_v1_3,RES,Publiziert ist nicht routinefähig: Biomarker-Transfer über drei Validierungsebenen,no,12–15,12–15,no,intermediate,advanced,yes,"Mehrdimensionale Integration, relevante Unsicherheit/Trade-offs oder klinisch-methodisch-organisatorische Konsequenzen erfordern fortgeschrittenes Reasoning."
RES_TEAM_001_v1_3,RES,"Vier Fachsprachen, ein Projekt: klinische Frage in Daten und Material übersetzen",no,10–12,10–12,no,intermediate,intermediate,no,Mehrere Befund-/Methodeninformationen müssen integriert oder gegeneinander abgewogen werden; Entscheidung bleibt klar begrenzbar.
