base_id,case_id,domain,title,method_role,method_filter_eligible,method_focus_domains,method_issue_types,method_techniques,legacy_met_addon_type,strict_review_previous_role,strict_review_note
MET_METH_001,MET_METH_001_v1_3,MTB,Bisulfit-PCR vs. Methylierungsarray → Lokaler Marker vs. globale Klassifikation,driver,True,molecular_diagnostics,assay_selection; methylation_scope,DNA-NGS; PCR/dPCR; Methylation,yes,driver,Confirmed on strict second pass.
MET_FISH_001,MET_FISH_001_v1_3,MTB,Amplifikation/Fusion: FISH als schnelle Ergänzung → Wann ISH/FISH sinnvoll bleibt,driver,True,molecular_diagnostics,assay_selection; orthogonal_testing,RNA-NGS; FISH/ISH,yes,driver,Confirmed on strict second pass.
MET_MULTI_001,MET_MULTI_001_v1_3,MTB,"Multiomics-Bericht: viel Information, wenig Entscheidung → Kernaussage fürs Tumorboard extrahieren",supporting,False,,,RNA-NGS; RNA-seq/Omics,yes,driver,"The challenge is information prioritization/MTB communication; no concrete method failure, limitation or analytical choice carries the outcome."
LAB_PRE_001,LAB_PRE_001_v1_3,LAB,"Unbeschriftetes Röhrchen im Eingang → Stoppen, klären, dokumentieren",supporting,False,,,,no,supporting,Confirmed on strict second pass.
LAB_PRE_002,LAB_PRE_002_v1_3,LAB,"FFPE-Block alt, Tumoranteil niedrig, DNA schlecht → Befundbar, eingeschränkt oder neues Material?",driver,True,laboratory_analytics_qc,preanalytics; material_adequacy; assay_limits,,no,driver,Confirmed on strict second pass.
LAB_PRE_003,LAB_PRE_003_v1_3,LAB,Liquid-Biopsy-Blut zu lange unzentrifugiert → Probe ablehnen oder limitiert analysieren?,driver,True,laboratory_analytics_qc; molecular_diagnostics,preanalytics; sample_stability; negative_result_limits,Liquid biopsy,no,driver,Confirmed on strict second pass.
LAB_PRE_004,LAB_PRE_004_v1_3,LAB,Dekalzifiziertes Knochenmaterial für NGS → Methodengrenze erkennen,driver,True,laboratory_analytics_qc; molecular_diagnostics,preanalytics; decalcification; assay_limits,DNA-NGS,no,driver,Confirmed on strict second pass.
LAB_PRE_005,LAB_PRE_005_v1_3,LAB,Forschung möchte 20 Schnitte aus kleinem Biopsieblock → Routinepriorität vs. Forschungsinteresse,supporting,False,,,DNA-NGS,no,supporting,Confirmed on strict second pass.
LAB_RUN_001,LAB_RUN_001_v1_3,LAB,"Positivkontrolle schwach, Patientenproben scheinbar okay → Run freigeben, teilfreigeben oder wiederholen?",driver,True,laboratory_analytics_qc,control_failure; run_acceptance,,no,driver,Confirmed on strict second pass.
LAB_RUN_003,LAB_RUN_003_v1_3,LAB,"Duplicate-Rate bei zwei Proben erhöht → Ursache, Befundgrenze, Wiederholung",driver,True,laboratory_analytics_qc; computational_statistics,qc_metric; duplicate_rate; repeat_strategy,DNA-NGS,no,driver,Confirmed on strict second pass.
LAB_RUN_004,LAB_RUN_004_v1_3,LAB,Neues NGS-Kit-Lot vor Routineeinsatz → Lot-Verifizierung und Dokumentation,driver,True,laboratory_analytics_qc,validation_verification; lot_verification,DNA-NGS; AI/ML,no,driver,Confirmed on strict second pass.
LAB_RUN_005,LAB_RUN_005_v1_3,LAB,PCR-Inhibition durch Ethanolreste im Eluat → Wiederholung Extraktion?,driver,True,laboratory_analytics_qc,pcr_inhibition; extraction_qc; repeat_strategy,PCR/dPCR,no,driver,Confirmed on strict second pass.
LAB_RUN_006,LAB_RUN_006_v1_3,LAB,"Post-PCR-Produkt gelangt in Prä-PCR-Bereich → Sofortmaßnahmen, Flächensanierung, CAPA",driver,True,laboratory_analytics_qc,contamination; workflow_zoning,PCR/dPCR,no,driver,Confirmed on strict second pass.
LAB_POST_002,LAB_POST_002_v1_3,LAB,Datenbankversion ClinVar/COSMIC nicht dokumentiert → Auditfest dokumentieren,supporting,False,,,Bioinformatics pipeline,no,supporting,Confirmed on strict second pass.
LAB_POST_003,LAB_POST_003_v1_3,LAB,Automatischer Report klassifiziert VUS als „actionable“ → Ärztlich-wissenschaftliche Freigabe,driver,True,computational_statistics; molecular_diagnostics,automated_interpretation; variant_interpretation; human_review,AI/ML,yes,driver,Confirmed on strict second pass.
LAB_POST_004,LAB_POST_004_v1_3,LAB,Tumorboard verlangt „alles negativ“ → Methodische Grenzen erklären,driver,True,molecular_diagnostics,negative_result_limits; reporting,Bioinformatics pipeline,no,driver,Confirmed on strict second pass.
LAB_POST_005,LAB_POST_005_v1_3,LAB,"Befundfreigabe trotz Coverage-Lücke → Limitation, Nachtestung, Rücksprache",driver,True,molecular_diagnostics; laboratory_analytics_qc,coverage; negative_result_limits; release_decision,DNA-NGS,yes,driver,Confirmed on strict second pass.
LAB_DOC_002,LAB_DOC_002_v1_3,LAB,Probe → Rohdaten → Pipeline → Befund nicht rückverfolgbar → LIMS-/ELN-Kette rekonstruieren,supporting,False,,,Bioinformatics pipeline; LIMS/ELN,no,supporting,Confirmed on strict second pass.
LAB_AUDIT_001,LAB_AUDIT_001_v1_3,LAB,Auditor fragt nach SOP-Version und Schulungsnachweis → Dokumente/Kompetenzmatrix zeigen,supporting,False,,,DNA-NGS,no,supporting,Confirmed on strict second pass.
LAB_CAPA_001,LAB_CAPA_001_v1_3,LAB,"Wiederholte Kontamination in einem Assay → Root Cause, Korrektur, Prävention",driver,True,laboratory_analytics_qc,contamination; root_cause_analysis; assay_validity,,no,supporting,"Repeated assay contamination directly threatens analytical validity; root-cause analysis and contamination control are methodological laboratory reasoning, not merely administrative CAPA."
LAB_QM_001,LAB_QM_001_v1_3,LAB,"Abweichung wurde informell gelöst, aber nicht gemeldet → Deviation melden statt vertuschen",supporting,False,,,,no,supporting,Confirmed on strict second pass.
LAB_LLM_001,LAB_LLM_001_v1_3,LAB,"LLM erstellt SOP-Entwurf mit fachlichen Fehlern → Output prüfen, Datenschutz/QM beachten",supporting,False,,,AI/ML,no,supporting,Confirmed on strict second pass.
LAB_DIGI_001,LAB_DIGI_001_v1_3,LAB,WSI-Scan unscharf: trotzdem für Tumoranteilsschätzung nutzen? → Bildqualität und Befundqualität,driver,True,laboratory_analytics_qc; digital_ai,image_quality; method_validity,Digital pathology/WSI,no,driver,Confirmed on strict second pass.
LAB_DIGI_002,LAB_DIGI_002_v1_3,LAB,"PD-L1-KI-Score ohne lokale Validierung → KI als Assistenz, nicht finaler Befund",driver,True,digital_ai; laboratory_analytics_qc,local_validation; algorithm_validation; human_review,IHC; MSI/MMR; AI/ML,no,driver,Confirmed on strict second pass.
LAB_DATA_001,LAB_DATA_001_v1_3,LAB,Excel-Export mit Patientendaten im Projektordner → Pseudonymisierung/Need-to-know,supporting,False,,,,no,supporting,Confirmed on strict second pass.
LAB_DATA_002,LAB_DATA_002_v1_3,LAB,"Ransomware/Serverausfall im NGS-Archiv → Backup, Notfallplan, Wiederherstellung",supporting,False,,,DNA-NGS,no,supporting,Confirmed on strict second pass.
LAB_LIMS_001,LAB_LIMS_001_v1_3,LAB,"LIMS-Ausfall während Routinewoche → Papier-Backup, Nachpflege, Freigabeprozess",supporting,False,,,LIMS/ELN,no,supporting,Confirmed on strict second pass.
RES_HYP_002,RES_HYP_002_v1_3,RES,"Biomarker X ist „wichtig“ – aber wie operationalisieren? → Population, Marker, Cutoff, Outcome definieren",driver,True,research_methodology; computational_statistics,operationalization; cutoff_definition; outcome_definition,,no,driver,Confirmed on strict second pass.
RES_OMICS_002,RES_OMICS_002_v1_3,RES,Single-Gene-Overinterpretation nach Omics → Netzwerk-/Pathwaykontext prüfen,driver,True,computational_statistics; research_methodology,single_gene_overinterpretation; pathway_analysis,RNA-seq/Omics,no,driver,Confirmed on strict second pass.
RES_OMICS_003,RES_OMICS_003_v1_3,RES,Label-Inflation: alles ist Angiogenese/EMT/Immunevasion → Spezifische Hypothese erzwingen,supporting,False,,,IHC; MSI/MMR; RNA-seq/Omics,no,driver,Label inflation is mainly conceptual/inferential over-interpretation; method choice/performance is not the decisive trap.
RES_IMM_001,RES_IMM_001_v1_3,RES,ICI-Resistenz: JAK/STAT-Signatur aus RNA-Seq → Von Bioinformatik zur mechanistischen Hypothese,driver,True,computational_statistics; research_methodology,signature_interpretation; hypothesis_generation; validation_strategy,RNA-NGS; RNA-seq/Omics; Bioinformatics pipeline,no,driver,Confirmed on strict second pass.
RES_MOD_001,RES_MOD_001_v1_3,RES,Zelllinie zeigt Effekt – aber passt sie zur Tumorentität? → Modellpassung prüfen,driver,True,research_methodology,model_selection; external_validity,,no,driver,Confirmed on strict second pass.
RES_MOD_002,RES_MOD_002_v1_3,RES,Organoide für einfache Proof-of-Concept-Frage? → Organoid sinnvoll oder Overkill?,driver,True,research_methodology,model_selection; method_proportionality,AI/ML,no,driver,Confirmed on strict second pass.
RES_MOD_003,RES_MOD_003_v1_3,RES,"PDO-Biobank als langfristige Plattform → SOP, klinische Daten, QC",driver,True,research_methodology; laboratory_analytics_qc,platform_design; sop_qc; biobank_standardization,RNA-seq/Omics,no,driver,Confirmed on strict second pass.
RES_VAL_001,RES_VAL_001_v1_3,RES,Kandidat aus Omics braucht unabhängige Validierung → IHC/qPCR/FISH/externe Kohorte planen,driver,True,research_methodology; molecular_diagnostics,independent_validation; assay_selection,PCR/dPCR; FISH/ISH; IHC; RNA-seq/Omics,no,driver,Confirmed on strict second pass.
RES_VAL_002,RES_VAL_002_v1_3,RES,Präklinischer Effekt ohne Patientenmaterial → Brücke zur klinischen Realität fehlt,driver,True,research_methodology,validation_design; clinical_translation,,no,driver,Confirmed on strict second pass.
RES_ETH_002,RES_ETH_002_v1_3,RES,WES-Projekt findet potenzielle Keimbahnvariante → Rückmeldepolicy und Humangenetik,supporting,False,,,WES,no,supporting,Confirmed on strict second pass.
RES_ETH_003,RES_ETH_003_v1_3,RES,Zusatzbiopsien nur für explorative Omics → Nutzen-Belastungs-Abwägung,supporting,False,,,DNA-NGS; RNA-seq/Omics,no,supporting,Confirmed on strict second pass.
RES_DATA_001,RES_DATA_001_v1_3,RES,Open-Science-Plan kollidiert mit Einwilligung → Data Sharing begrenzen/absichern,supporting,False,,,,no,supporting,Confirmed on strict second pass.
RES_AI_001,RES_AI_001_v1_3,RES,"KI-Modell mit biased Training Set → Bias, Transparenz, Verantwortung",driver,True,digital_ai; computational_statistics; research_methodology,training_bias; validation; generalizability,AI/ML,no,driver,Confirmed on strict second pass.
RES_PM_001,RES_PM_001_v1_3,RES,Doktorand startet Projekt ohne Daten-/Code-Struktur → raw/processed/code/README etablieren,driver,True,computational_statistics,data_provenance; reproducibility; project_structure,RNA-seq/Omics,no,driver,Confirmed on strict second pass.
RES_PM_002,RES_PM_002_v1_3,RES,analysis_final_neu_ENDGUELTIG.R → Versionierung und Naming,driver,True,computational_statistics,version_control; reproducibility; code_organization,,no,driver,Confirmed on strict second pass.
RES_ROLE_001,RES_ROLE_001_v1_3,RES,Autorenschaftskonflikt kurz vor Submission → ICMJE/CRediT/Rollenmatrix,none,False,,,,no,none,Confirmed on strict second pass.
RES_GRANT_001,RES_GRANT_001_v1_3,RES,Drittmittelidee ohne Arbeitspakete/Budget/Meilensteine → Projektarchitektur aufbauen,none,False,,,,no,none,Confirmed on strict second pass.
RES_IMPL_001,RES_IMPL_001_v1_3,RES,"Biomarker publiziert, aber nicht routinefähig → Validierung, Workflow, Kosten, Qualität",driver,True,research_methodology; laboratory_analytics_qc,validation_verification; routine_transfer; workflow_feasibility,,no,driver,Confirmed on strict second pass.
RES_TEAM_001,RES_TEAM_001_v1_3,RES,"Klinik, Pathologie, Bioinfo, Labor sprechen aneinander vorbei → Übersetzungslogik und strukturierte Fragen",supporting,False,,,DNA-NGS,no,supporting,Confirmed on strict second pass.
